City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,leningradskiy,69.3833,178.4167,-26.95,96,91,4.03,RU,1674848456
182,namibe,-15.1961,12.1522,23.25,79,98,1.22,AO,1674848456
183,solnechnyy,50.7214,136.6319,-31.85,99,94,0.99,RU,1674848457
184,kahului,20.8947,-156.47,22.01,96,75,8.23,US,1674848457
185,inuvik,68.3499,-133.7218,-31.44,75,20,1.03,CA,1674848458
186,shirokiy,49.758,129.523,-39.36,100,58,1.97,RU,1674848458
187,tottori,35.5,134.2333,0.52,97,100,5.75,JP,1674848458
188,haapiti,-17.5667,-149.8667,29.85,73,3,6.16,PF,1674848459
189,iki-burul,45.8208,44.6472,-3.69,86,8,4.58,RU,1674848459
190,puerto ayora,-0.7393,-90.3518,27.98,91,61,3.13,EC,1674848460
191,bago,17.3367,96.4797,21.64,61,0,1.4,MM,1674848460
192,deer lake,49.1667,-57.4316,-2.08,74,100,8.23,CA,1674848460
193,la ronge,55.1001,-105.2842,-22.86,45,20,5.66,CA,1674848461
194,linhares,-19.3911,-40.0722,27.15,76,24,3.85,BR,1674848178
195,sao filipe,14.8961,-24.4956,23.79,74,17,3.86,CV,1674848462
196,tuktoyaktuk,69.4541,-133.0374,-33.0,75,75,4.12,CA,1674848462
197,san pedro zacapa,14.75,-88.1167,29.18,47,41,3.23,HN,1674848463
198,inhambane,-23.865,35.3833,26.99,74,20,6.17,MZ,1674848463
199,temryuk,45.2722,37.3811,3.12,56,76,5.25,RU,1674848463
200,delta del tigre,-34.7633,-56.3853,29.06,65,100,5.14,UY,1674848464
201,jequie,-13.8575,-40.0836,27.66,63,94,0.94,BR,1674848464
202,bitung,1.4451,125.1824,24.47,86,100,2.86,ID,1674848465
203,vuktyl,63.8567,57.3094,-9.77,95,97,3.46,RU,1674848465
204,ahipara,-35.1667,173.1667,20.56,96,100,1.63,NZ,1674848466
205,trincomalee,8.5711,81.2335,25.3,74,100,5.89,LK,1674848466
206,kalanguy,51.0167,116.5167,-24.32,100,100,1.12,RU,1674848466
207,dunedin,-45.8742,170.5036,13.22,73,1,0.45,NZ,1674848317
208,itacare,-14.2775,-38.9967,27.23,74,20,4.13,BR,1674848467
209,muzhi,65.3667,64.6667,-7.86,79,100,5.56,RU,1674848467
210,sepuka,-4.75,34.5333,17.79,69,47,2.74,TZ,1674848468
211,komsomolskiy,40.4272,71.7189,-4.6,80,92,3.09,UZ,1674848468
212,polewali,-3.4324,119.3435,24.54,89,100,1.82,ID,1674848469
213,san quintin,30.4833,-115.95,17.2,28,79,2.49,MX,1674848469
214,saa,4.3667,11.45,25.67,69,75,3.9,CM,1674848470
215,hobyo,5.3505,48.5268,24.66,74,4,7.12,SO,1674848470
216,hasaki,35.7333,140.8333,-0.78,60,76,8.68,JP,1674848470
217,okhotsk,59.3833,143.3,-22.1,75,100,6.7,RU,1674848471
218,barrow,71.2906,-156.7887,-29.99,76,0,4.63,US,1674848471
219,new iberia,30.0035,-91.8187,15.04,35,0,2.57,US,1674848472
220,awjilah,29.1081,21.2869,14.39,53,0,5.46,LY,1674848472
221,hanna,51.6334,-111.9018,-10.33,87,100,5.16,CA,1674848473
222,avera,33.194,-82.5271,10.73,40,100,4.89,US,1674848473
223,khuzdar,27.7384,66.6434,9.24,30,90,1.92,PK,1674848474
224,tuatapere,-46.1333,167.6833,11.46,68,4,1.86,NZ,1674848474
225,gazli,40.1333,63.45,-2.41,68,0,3.08,UZ,1674848475
226,guipavas,48.4352,-4.3972,7.26,77,100,4.63,FR,1674848475
227,tessalit,20.1986,1.0114,16.01,12,41,3.99,ML,1674848475
228,coahuayana,18.7333,-103.6833,31.65,25,100,3.22,MX,1674848476
229,guerrero negro,27.9769,-114.0611,18.2,23,100,0.21,MX,1674848476
230,ambilobe,-13.2,49.05,23.68,94,14,0.27,MG,1674848477
231,dehloran,32.6941,47.2679,11.58,40,0,2.58,IR,1674848477
232,sangar,63.9242,127.4739,-48.14,100,77,0.45,RU,1674848478
233,boyuibe,-20.4167,-63.2833,33.89,37,83,4.63,BO,1674848478
234,kedrovyy,56.1667,91.8167,-7.77,93,100,5.12,RU,1674848479
235,asau,46.4333,26.4,-3.49,96,100,3.1,RO,1674848479
236,povenets,62.8487,34.8262,-14.17,96,46,2.08,RU,1674848480
237,kaeo,-35.1,173.7833,21.29,97,95,2.92,NZ,1674848480
238,santiago del estero,-27.7951,-64.2615,40.63,24,88,6.62,AR,1674848432
239,peace river,56.2501,-117.286,-10.83,72,75,5.14,CA,1674848476
240,chocope,-7.7914,-79.2217,22.47,54,54,5.33,PE,1674848481
241,katsuura,35.1333,140.3,2.14,69,11,5.91,JP,1674848481
242,alofi,-19.0595,-169.9187,26.94,89,93,2.57,NU,1674848482
243,muisne,0.6,-80.0333,27.23,75,60,4.42,EC,1674848482
244,krasnoarmeysk,51.0239,45.6969,-11.92,85,67,2.36,RU,1674848483
245,tura,25.5198,90.2201,16.23,66,17,0.96,IN,1674848483
246,kavieng,-2.5744,150.7967,27.38,78,90,5.1,PG,1674848483
247,kedougou,12.5579,-12.1743,31.87,14,85,2.02,SN,1674848484
248,disraeli,45.9001,-71.3491,-5.62,89,91,2.79,CA,1674848484
249,katherine,-14.4667,132.2667,26.18,83,100,0.51,AU,1674848485
250,upernavik,72.7868,-56.1549,-22.21,91,6,2.77,GL,1674848485
251,marsh harbour,26.5412,-77.0636,22.04,72,95,8.06,BS,1674848485
252,forest,37.3638,-79.2897,7.21,36,0,3.6,US,1674848486
253,luanda,-8.8368,13.2343,27.0,78,75,2.57,AO,1674848486
254,lagoa,39.05,-27.9833,14.22,63,99,6.56,PT,1674848487
255,dingle,10.9995,122.6711,23.54,94,100,3.61,PH,1674848487
256,cururupu,-1.8283,-44.8683,26.92,78,66,1.97,BR,1674848488
257,timmins,48.4669,-81.3331,-9.1,73,100,6.17,CA,1674848488
258,bethanien,-26.502,17.1583,29.29,29,100,2.09,NA,1674848488
259,auki,-8.7676,160.7034,24.91,85,74,1.43,SB,1674848489
260,saint-pierre,-21.3393,55.4781,26.82,78,0,1.03,RE,1674848489
261,alice springs,-23.7,133.8833,24.75,73,100,3.6,AU,1674848490
262,utete,-7.986,38.758,23.19,89,56,1.77,TZ,1674848490
263,hammerfest,70.6634,23.6821,3.25,81,75,5.14,NO,1674848491
264,cidreira,-30.1811,-50.2056,27.0,70,6,6.97,BR,1674848491
265,mulgund,15.25,75.5333,20.0,45,0,3.53,IN,1674848492
266,narovchat,53.8765,43.6946,-11.0,97,54,2.59,RU,1674848492
267,omboue,-1.5746,9.2618,25.75,85,100,3.46,GA,1674848492
268,freeport,40.6576,-73.5832,7.21,50,75,6.69,US,1674848493
269,grajau,-5.8194,-46.1386,27.67,76,41,1.24,BR,1674848493
270,marystown,47.1666,-55.1483,0.58,80,97,10.19,CA,1674848494
271,mezen,65.8522,44.24,-8.6,97,94,2.7,RU,1674848494
272,fare,-16.7,-151.0167,26.95,75,2,6.2,PF,1674848494
273,fort frances,48.5999,-93.4003,-10.88,76,100,10.29,CA,1674848425
274,perigueux,45.1833,0.7167,4.67,79,95,3.61,FR,1674848495
275,kushmurun,52.4503,64.6311,-11.41,87,90,5.47,KZ,1674848495
276,naze,28.3667,129.4833,7.51,65,94,8.54,JP,1674848496
277,palmer,42.1584,-72.3287,5.48,50,75,2.06,US,1674848496
278,laramie,41.3114,-105.5911,1.96,60,0,10.8,US,1674848421
279,briancon,44.9,6.65,-2.8,96,54,1.01,FR,1674848497
280,beberibe,-4.1797,-38.1306,27.25,73,100,4.13,BR,1674848427
281,sibolga,1.7427,98.7792,23.54,91,100,1.77,ID,1674848497
282,rawson,-43.3002,-65.1023,22.46,33,0,2.35,AR,1674848498
283,dhidhdhoo,6.8833,73.1,26.74,74,15,4.56,MV,1674848498
284,talnakh,69.4865,88.3972,-15.44,96,100,3.82,RU,1674848499
285,tiksi,71.6872,128.8694,-38.58,100,97,1.27,RU,1674848499
286,nehe,48.4833,124.8333,-34.64,100,29,0.91,CN,1674848500
287,ketchikan,55.3422,-131.6461,5.26,81,40,4.12,US,1674848500
288,strezhevoy,60.7333,77.5889,-6.82,95,100,3.6,RU,1674848500
289,santa marta,11.2408,-74.199,31.03,58,20,9.39,CO,1674848501
290,cabo san lucas,22.8909,-109.9124,24.78,53,40,5.14,MX,1674848215
291,chicama,-7.8447,-79.1469,22.3,56,51,4.84,PE,1674848501
292,cherskiy,68.75,161.3,-27.49,88,100,1.69,RU,1674848502
293,honiara,-9.4333,159.95,25.21,84,71,1.76,SB,1674848502
294,ubauro,28.1652,69.7289,14.54,16,99,2.49,PK,1674848503
295,caravelas,-17.7125,-39.2481,26.68,75,100,3.39,BR,1674848503
296,kavaratti,10.5669,72.642,26.42,71,67,1.15,IN,1674848503
297,fortuna,40.5982,-124.1573,10.37,94,99,0.45,US,1674848246
298,kirensk,57.7853,108.1119,-8.03,91,100,4.05,RU,1674848504
299,padang,-0.9492,100.3543,22.03,91,100,2.37,ID,1674848505
300,agua dulce,18.1333,-94.1333,22.9,86,72,7.26,MX,1674848505
301,tongling,30.95,117.7833,-0.33,46,0,1.19,CN,1674848505
302,presidencia roque saenz pena,-26.7852,-60.4388,38.09,31,56,5.87,AR,1674848506
303,verkhoyansk,67.5447,133.385,-44.89,100,100,1.01,RU,1674848506
304,pisco,-13.7,-76.2167,25.03,78,0,3.09,PE,1674848507
305,santa cruz,-17.8,-63.1667,29.03,70,75,6.69,BO,1674848420
306,anadyr,64.75,177.4833,-16.62,95,100,2.18,RU,1674848508
307,mareeba,-17.0,145.4333,23.58,97,100,1.64,AU,1674848508
308,lasa,46.6166,10.7002,-1.51,83,99,2.14,IT,1674848509
309,shestakovo,56.4915,103.96,-7.87,90,100,4.72,RU,1674848509
310,peniche,39.3558,-9.3811,10.52,79,0,7.73,PT,1674848509
311,kissamos,35.4939,23.6569,14.39,73,89,8.62,GR,1674848510
312,george,-33.963,22.4617,20.75,94,75,2.06,ZA,1674848510
313,yeppoon,-23.1333,150.7333,22.88,84,74,4.3,AU,1674848511
314,asosa,10.0667,34.5333,20.91,19,54,1.95,ET,1674848511
315,airai,-8.9266,125.4092,16.15,90,100,0.69,TL,1674848512
316,ostrovnoy,68.0531,39.5131,-6.74,89,99,5.88,RU,1674848512
